10,56,113,172,204,226,283,373,446,504,550,580,635,692,747,799,854,910,964,1018,1074,1132,1185,1241,1299,1356,1410,1437,1469,1527,1584,1611,1639,1693
584.5,591.6,688.2,700.7,487.8,627.9,625.0,627.2,582.3,625.1,566.2,683.0,736.2,763.1,731.4,676.4,637.0,612.0,598.4,599.4,586.8,586.7,578.8,579.2,582.0,568.4,569.9,544.3,567.7,564.4,558.6,533.2,552.1,561.6
10,26,57,87,110,143,170,228,279,315,334,385,434,460,469,528,586,627,644,698,751,806,859,911,968,1022,1075,1132,1189,1242,1297,1350,1397,1446,1495,1545,1601,1657
546.2,543.4,570.9,555.8,579.2,549.7,665.9,706.4,612.8,572.5,563.7,621.9,661.5,560.8,577.0,622.4,657.3,577.2,670.1,724.9,802.1,798.6,702.0,658.2,642.2,625.4,613.7,627.3,624.5,611.7,618.9,606.3,589.1,593.1,592.3,586.7,589.6,582.2
10,61,86,141,170,195,247,331,392,411,440,468,501,529,558,583,620,652,684,715,737,751,767,787,829,888,936,974,999,1037,1097,1125,1158,1204,1228,1274,1337,1366,1377,1400,1426,1444,1492,1527,1570,1632,1663
608.9,783.3,817.2,577.4,622.3,554.9,956.9,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,957.0,871.8,809.9,810.5,815.9,957.0,957.0,787.0,585.3,686.3,957.0,517.3,571.9,559.1,611.2,631.1,678.8,570.0,530.8,531.9,565.0,602.6,709.6,606.5,624.0,957.0,694.9,750.3
10,15,24,57,84,117,140,190,244,286,294,332,408,467,487,544,588,604,667,725,782,842,902,960,1022,1085,1143,1199,1259,1315,1370,1429,1475,1489,1527,1546,1602,1662
565.7,561.4,567.7,550.0,601.9,537.1,628.5,688.6,724.8,581.3,590.3,587.0,713.3,582.0,612.4,646.2,574.6,685.1,712.8,759.7,781.1,757.1,696.9,645.1,627.1,613.6,600.8,591.2,595.4,580.5,576.3,580.1,546.1,571.4,533.3,576.1,574.1,582.2
